# time  ID  size  fromHost  toHost  TTL  isResponse
3352.0000 M113 132169 p1_14 ADB2 300 N 
3379.0000 M114 76370 p2_15 ADB2 300 N 
3383.7323 N159 1000000 ADB2 p2_15 300 N 
3408.0000 M115 54649 p1_8 ADB2 300 N 
3414.2027 N160 1000000 ADB2 p1_8 300 N 
3421.2080 N161 1000000 ADB2 p2_16 300 N 
3435.0000 M116 118464 p2_17 ADB2 300 N 
3440.7178 N162 1000000 ADB2 p2_15 300 N 
3445.5515 N163 1000000 ADB2 p1_8 300 N 
3453.5606 N164 1000000 ADB2 p2_22 300 N 
3461.0000 M117 103518 p1_9 ADB2 300 N 
3467.4599 N165 1000000 ADB2 p1_14 300 N 
3469.8848 N166 1000000 ADB2 p1_7 300 N 
3487.0000 M118 140380 p2_18 ADB2 300 N 
3512.3883 N167 1000000 ADB2 p1_6 300 N 
3516.0000 M119 136640 p2_21 ADB2 300 N 
3522.6941 N168 1000000 ADB2 p2_17 300 N 
3543.0000 M120 74342 p1_12 ADB2 300 N 
3543.2688 N169 1000000 ADB2 p2_17 300 N 
3545.9217 N170 1000000 ADB2 p2_16 300 N 
3555.8595 N171 1000000 ADB2 p1_7 300 N 
3557.1127 N172 1000000 ADB2 p2_22 300 N 
3570.0000 M121 51626 p1_5 ADB2 300 N 
3601.0000 M122 125987 p2_16 ADB2 300 N 
3611.2620 N173 1000000 ADB2 p1_12 300 N 
3612.0720 N174 1000000 ADB2 p2_22 300 N 
3627.0000 M123 64169 p1_9 ADB2 300 N 
3635.1461 N175 1000000 ADB2 p1_13 300 N 
3636.7965 N176 1000000 ADB2 p2_20 300 N 
3653.3733 N177 1000000 ADB2 p2_23 300 N 
3661.0000 M124 79639 p2_19 ADB2 300 N 
3681.7471 N178 1000000 ADB2 p1_5 300 N 
3685.2201 N179 1000000 ADB2 p2_20 300 N 
3691.0000 M125 120651 p2_16 ADB2 300 N 
3701.6950 N180 1000000 ADB2 p2_21 300 N 
3702.5682 N181 1000000 ADB2 p1_6 300 N 
3719.6246 N182 1000000 ADB2 p1_14 300 N 
3724.0000 M126 62443 p1_6 ADB2 300 N 
3748.6905 N183 1000000 ADB2 p2_18 300 N 
3752.2834 N184 1000000 ADB2 p1_8 300 N 
3754.0000 M127 56002 p2_18 ADB2 300 N 
3759.1544 N185 1000000 ADB2 p2_23 300 N 
3780.3821 N186 1000000 ADB2 p1_10 300 N 
3786.0000 M128 74055 p2_22 ADB2 300 N 
3791.3672 N187 1000000 ADB2 p1_10 300 N 
3797.8720 N188 1000000 ADB2 p2_17 300 N 
3811.0000 M129 110878 p1_11 ADB2 300 N 
3814.5048 N189 1000000 ADB2 p2_15 300 N 
3819.1697 N190 1000000 ADB2 p1_14 300 N 
3842.0000 M130 86904 p1_5 ADB2 300 N 
3842.6825 N191 1000000 ADB2 p2_22 300 N 
3842.7557 N192 1000000 ADB2 p2_19 300 N 
3857.0870 N193 1000000 ADB2 p2_22 300 N 
3861.0219 N194 1000000 ADB2 p1_14 300 N 
3873.0000 M131 92886 p1_13 ADB2 300 N 
3874.1700 N195 1000000 ADB2 p2_21 300 N 
3888.0339 N196 1000000 ADB2 p1_9 300 N 
3904.0000 M132 115115 p1_5 ADB2 300 N 
3934.0000 M133 141759 p1_5 ADB2 300 N 
3954.8486 N197 1000000 ADB2 p1_11 300 N 
3956.3391 N198 1000000 ADB2 p2_23 300 N 
3968.0000 M134 106159 p1_14 ADB2 300 N 
3987.4880 N199 1000000 ADB2 p1_12 300 N 
3998.5216 N200 1000000 ADB2 p2_17 300 N 
3999.0000 M135 137682 p1_8 ADB2 300 N 
4028.0000 M136 133655 p2_18 ADB2 300 N 
4040.6465 N201 1000000 ADB2 p1_9 300 N 
4055.0000 M137 81418 p2_21 ADB2 300 N 
4060.1017 N202 1000000 ADB2 p2_23 300 N 
4080.0000 M138 89621 p1_5 ADB2 300 N 
4094.7629 N203 1000000 ADB2 p2_22 300 N 
4096.6187 N204 1000000 ADB2 p2_16 300 N 
4112.0000 M139 57091 p1_11 ADB2 300 N 
4143.0000 M140 142720 p2_22 ADB2 300 N 
4160.5827 N205 1000000 ADB2 p1_14 300 N 
4174.0000 M141 77788 p1_6 ADB2 300 N 
4184.4089 N206 1000000 ADB2 p2_16 300 N 
4189.8280 N207 1000000 ADB2 p2_22 300 N 
4191.3447 N208 1000000 ADB2 p1_7 300 N 
4204.1599 N209 1000000 ADB2 p2_16 300 N 
4205.0000 M142 75726 p2_15 ADB2 300 N 
4230.0000 M143 81013 p2_22 ADB2 300 N 
4236.8129 N210 1000000 ADB2 p1_6 300 N 
4255.0000 M144 113690 p1_12 ADB2 300 N 
