# time  ID  size  fromHost  toHost  TTL  isResponse
831.4211 M398 1209080 p2_28 ADB3 300 N 
834.5879 M399 2465112 p2_20 ADB3 300 N 
834.8088 M400 1075843 p1_10 ADB3 300 N 
835.7220 M401 2648818 p3_36 ADB3 300 N 
838.1696 M402 1854133 p1_13 ADB3 300 N 
839.6532 M403 1681868 p2_24 ADB3 300 N 
844.0623 M404 1884205 p2_20 ADB3 300 N 
847.4315 M405 1207088 p1_15 ADB3 300 N 
850.4189 M406 1941440 p2_24 ADB3 300 N 
851.9743 M407 2091690 p3_34 ADB3 300 N 
852.3407 M408 2785380 p2_25 ADB3 300 N 
852.9904 M409 1051056 p3_36 ADB3 300 N 
853.7393 M410 1404189 p1_15 ADB3 300 N 
856.2474 M411 1822389 p3_30 ADB3 300 N 
857.7482 M412 2821306 p3_31 ADB3 300 N 
859.1975 M413 1556109 p1_15 ADB3 300 N 
860.0400 M414 1536513 p1_9 ADB3 300 N 
861.4001 M415 1079462 p1_14 ADB3 300 N 
863.0839 M416 1455865 p1_17 ADB3 300 N 
864.3394 M417 1531806 p3_30 ADB3 300 N 
865.4123 M418 2220425 p3_31 ADB3 300 N 
866.4406 M419 2693254 p3_33 ADB3 300 N 
866.6587 M420 1756276 p2_24 ADB3 300 N 
870.6769 M421 1855904 p1_12 ADB3 300 N 
871.0929 M422 1874593 p3_31 ADB3 300 N 
872.2291 M423 2992926 p1_10 ADB3 300 N 
873.9610 M424 1531510 p2_28 ADB3 300 N 
874.9143 M425 1240952 p1_9 ADB3 300 N 
875.7198 M426 2598267 p3_33 ADB3 300 N 
876.8693 M427 1850515 p3_29 ADB3 300 N 
878.1780 M428 2874569 p3_33 ADB3 300 N 
882.0006 M429 2116894 p2_28 ADB3 300 N 
884.3439 M430 2771889 p1_9 ADB3 300 N 
884.9051 M431 1623448 p3_34 ADB3 300 N 
885.4365 M432 1246572 p1_13 ADB3 300 N 
890.0402 M433 2273182 p3_30 ADB3 300 N 
890.8414 M434 2995712 p1_14 ADB3 300 N 
892.1642 M435 2138819 p1_10 ADB3 300 N 
892.9067 M436 1094749 p3_29 ADB3 300 N 
894.4772 M437 1060289 p1_17 ADB3 300 N 
895.2375 M438 2069290 p3_35 ADB3 300 N 
895.7314 M439 1019273 p3_29 ADB3 300 N 
896.2571 M440 1648646 p1_15 ADB3 300 N 
897.0616 M441 2559185 p1_17 ADB3 300 N 
898.6536 M442 1796335 p3_37 ADB3 300 N 
899.1466 M443 2454605 p2_28 ADB3 300 N 
899.4044 M444 1105103 p3_30 ADB3 300 N 
901.2048 M445 1787137 p2_23 ADB3 300 N 
903.2716 M446 2496432 p1_12 ADB3 300 N 
906.1368 M447 2203803 p3_29 ADB3 300 N 
907.2137 M448 1613384 p3_29 ADB3 300 N 
910.4044 M449 2506099 p3_31 ADB3 300 N 
910.7193 M450 2407849 p3_29 ADB3 300 N 
912.5203 M451 1489659 p3_33 ADB3 300 N 
914.0411 M452 1362810 p2_20 ADB3 300 N 
914.8425 M453 1988060 p2_20 ADB3 300 N 
916.9263 M454 2795729 p1_10 ADB3 300 N 
920.0133 M455 2617960 p1_14 ADB3 300 N 
920.0208 M456 2467409 p2_28 ADB3 300 N 
922.5550 M457 1641547 p1_15 ADB3 300 N 
922.9494 M458 2845912 p2_28 ADB3 300 N 
923.4505 M459 1988967 p1_14 ADB3 300 N 
925.9806 M460 2459440 p3_36 ADB3 300 N 
929.2841 M461 1590160 p2_26 ADB3 300 N 
937.2618 M462 1402949 p2_23 ADB3 300 N 
937.8534 M463 2347453 p3_33 ADB3 300 N 
938.7714 M464 2459161 p3_35 ADB3 300 N 
939.3268 M465 1888064 p1_16 ADB3 300 N 
939.6737 M466 1095090 p2_28 ADB3 300 N 
943.1335 M467 2542017 p2_27 ADB3 300 N 
943.3576 M468 2715775 p2_20 ADB3 300 N 
944.1884 M469 2761437 p1_18 ADB3 300 N 
946.6181 M470 1761454 p2_25 ADB3 300 N 
947.3339 M471 2808921 p1_14 ADB3 300 N 
949.3135 M472 2607666 p1_11 ADB3 300 N 
951.9935 M473 2372250 p3_35 ADB3 300 N 
954.2199 M474 1494710 p3_30 ADB3 300 N 
962.1044 M475 1055112 p1_17 ADB3 300 N 
962.7919 M476 2862959 p3_33 ADB3 300 N 
964.6950 M477 1214660 p1_15 ADB3 300 N 
965.9856 M478 1127256 p1_10 ADB3 300 N 
968.7690 M479 2319404 p2_21 ADB3 300 N 
969.5788 M480 1668234 p2_20 ADB3 300 N 
969.8776 M481 1702085 p3_30 ADB3 300 N 
970.7635 M482 2664301 p2_27 ADB3 300 N 
970.8731 M483 2445389 p1_13 ADB3 300 N 
973.8541 M484 1672640 p2_21 ADB3 300 N 
983.0413 M485 2033739 p2_20 ADB3 300 N 
984.9681 M486 2968185 p2_23 ADB3 300 N 
990.4864 M487 2004121 p2_28 ADB3 300 N 
990.7015 M488 1549861 p3_30 ADB3 300 N 
990.9529 M489 1533454 p1_14 ADB3 300 N 
992.7911 M490 2715433 p3_35 ADB3 300 N 
